state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Alabama,1001,Autauga County,19838,7503,27770,12335,0.714368023046453,0.27018365142239800,0.4441843716240550
Alabama,1003,Baldwin County,83544,24578,109679,58966,0.7617137282433280,0.22409029987509000,0.5376234283682380
Alabama,1005,Barbour County,5622,4816,10518,806,0.5345122646891040,0.45788172656398600,0.07663053812511880
Alabama,1007,Bibb County,7525,1986,9595,5539,0.7842626367899950,0.20698280354351200,0.5772798332464830
Alabama,1009,Blount County,24711,2640,27588,22071,0.8957155284906480,0.09569377990430620,0.8000217485863420
Alabama,1011,Bullock County,1146,3446,4613,-2300,0.24842835464990200,0.7470192933015390,-0.49859093865163700
Alabama,1013,Butler County,5458,3965,9488,1493,0.5752529510961210,0.4178962900505900,0.1573566610455310
Alabama,1015,Calhoun County,35101,15216,50983,19885,0.6884843967597040,0.29845242531824300,0.39003197144146100
Alabama,1017,Chambers County,8753,6365,15284,2388,0.5726903951845070,0.41644857367181400,0.15624182151269300
Alabama,1019,Cherokee County,10583,1624,12301,8959,0.8603365580034140,0.13202178684659800,0.7283147711568170
Alabama,1021,Chilton County,16085,3073,19310,13012,0.8329880890730190,0.1591403417918180,0.6738477472812010
Alabama,1023,Choctaw County,4296,3127,7464,1169,0.5755627009646300,0.41894426580921800,0.15661843515541300
Alabama,1025,Clarke County,7324,5755,13135,1569,0.5575942139322420,0.4381423677198330,0.11945184621241000
Alabama,1027,Clay County,5601,1267,6930,4334,0.8082251082251080,0.18282828282828300,0.6253968253968250
Alabama,1029,Cleburne County,6484,675,7227,5809,0.8971910889719110,0.09339975093399750,0.8037913380379130
Alabama,1031,Coffee County,16899,5076,22275,11823,0.7586531986531990,0.22787878787878800,0.5307744107744110
Alabama,1033,Colbert County,19203,8343,27886,10860,0.688625116545937,0.2991823854263790,0.38944273111955800
Alabama,1035,Conecuh County,3442,2966,6441,476,0.5343890700201830,0.46048750194069200,0.07390156807949080
Alabama,1037,Coosa County,3631,1796,5479,1835,0.6627121737543350,0.3277970432560690,0.33491513049826600
Alabama,1039,Covington County,14586,2721,17430,11865,0.8368330464716010,0.15611015490533600,0.6807228915662650
Alabama,1041,Crenshaw County,4864,1700,6617,3164,0.7350763185733720,0.2569140093698050,0.47816230920356700
Alabama,1043,Cullman County,36880,4478,41851,32402,0.8812214761893380,0.10699863802537600,0.7742228381639630
Alabama,1045,Dale County,14303,5170,19738,9133,0.724642820954504,0.2619313000303980,0.46271152092410600
Alabama,1047,Dallas County,5524,12230,17864,-6706,0.30922525750112000,0.6846171070309000,-0.3753918495297810
